Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
MASTERS PHARMACEUTICAL,,,350,Pharmaceutical Manufacturing,,36200000,http://www.MastersRx.com
MASTERSON FOODS,,,125,Food & Beverages,,32200000,http://www.mastersonfoods.com
MATENAER CORPORATION,,Wisconsin,55,machinery,,44800000,matenaer.com
MATRIC LIMITED,,,350,"Appliances, Electrical, and Electronics Manufacturing",,81400000,http://www.matric.com/
MATRIX DESIGN GROUP,,,81,electrical/electronic manufacturing,,29419000,http://www.matrixteam.com
MAYCO INTERNATIONAL,,Michigan,550,Automotive,,52100000,maycointernational.com
MAYFRAN INTERNATIONAL,,,350,Automation Machinery Manufacturing,,150000000,http://www.mayfran.com
MAYSTEEL INDUSTRIES,,,750,Industrial Machinery Manufacturing,,112500000,http://www.maysteel.com
MAZZELLA COMPANIES,,,750,Automation Machinery Manufacturing,,320000000,http://www.mazzellacompanies.com
MBW,,Wisconsin,79,Construction,,53637000,mbw.com
MC ASSEMBLY,,,230,electrical/electronic manufacturing,,600000000,http://www.mcati.com
MC TANK TRANSPORT,https://www.linkedin.com/company/1900799,Louisiana,76,Transportation/Trucking/Railroad,,50000000,mctank.com
MCC SOLUTIONS,,,120,Retail,,39430000,http://www.mccsolutions.net
MCE,,,350,Automation Machinery Manufacturing,,34200000,http://www.mceautomation.com
MCGREGOR METAL,,,350,Industrial Machinery Manufacturing,,43000000,http://www.mcgregormetal.com
MCLANAHAN,,,350,Machinery Manufacturing,,88400000,http://www.mclanahan.com
MCMILLAN ELECTRIC COMPANY,,,350,"Appliances, Electrical, and Electronics Manufacturing",,70100000,http://www.mcmillanelectric.com
MCNEILUS TRUCK AND MANUFACTURING,,Minnesota,570,Automotive,,142000000,mcneiluscompanies.com
MCSWAIN CARPETS & FLOORS,,,120,Retail,,49901000,http://www.mcswaincarpets.com
MDESIGN,,,350,Consumer Goods,,32100000,https://mdesignhomedecor.com/
"MEC (MAYVILLE ENGINEERING COMPANY, INC.)",,,3000,Industrial Machinery Manufacturing,,478500000,http://www.mecinc.com
MEDARTIS,,Indiana,94,medical devices,,166900000,medartisusa.com
MENASHA PACKAGING,,,3000,Packaging and Containers Manufacturing,,387300000,http://www.menasha.com
MERCHANTS FOODSERVICE,,,750,Food and Beverage Services,,311600000,http://merchantsfoodservice.com
MERCURY PLASTICS,,,350,Plastics Manufacturing,,75000000,https://www.mercury-plastics.com
MERIDIAN BIOSCIENCE,,,750,Medical Equipment Manufacturing,,333000000,http://www.meridianbioscience.com
MERRILL,,,350,Defense and Space Manufacturing,,91000000,http://www.MERRILLtg.com
MERRILL STEEL,,,350,Fabricated Metal Products,,37500000,http://www.merrillsteel.com/
"MES, INC",,,125,Motor Vehicle Manufacturing,,116100000,http://www.mesinc.net
MESSER CUTTING SYSTEMS,,,750,Machinery Manufacturing,,45000000,http://www.messer-cutting.com
METAL CRAFT AND RIVERSIDE MACHINE & ENGINEERING,,Minnesota,160,Aviation & Aerospace,,80000000,mcandrs.com
"METALCRAFT OF MAYVILLE, INC.",,,750,Industrial Machinery Manufacturing,,53400000,http://www.mtlcraft.com
METALTEK INTERNATIONAL,,Wisconsin,520,mining & metals,,210700000,metaltek.com
METALWORKING,,,125,Machinery Manufacturing,,63000000,http://www.metalworkinggroup.com
METZGERS PRINTING & MAILING,,,125,Printing Services,,30000000,http://www.metzgers.com
MFP AUTOMATION ENGINEERING,,,125,Automation Machinery Manufacturing,,51100000,http://www.mifp.com
MGS MFG. GROUP,,,3000,Plastics Manufacturing,,240000000,http://www.mgsmfg.com
MICELI DAIRY,,,350,Food and Beverage Manufacturing,,72400000,http://www.miceli-dairy.com
MICHELMAN,,,350,Chemical Manufacturing,,225000000,http://www.michelman.com
MICHIGAN SUGAR,,,3000,Food and Beverage Manufacturing,,46600000,http://www.michigansugar.com
MICHIGAN TURKEY PRODUCERS,,,750,Food and Beverage Manufacturing,,46000000,https://www.miturkey.com
MICKEY THOMPSON TIRES,,,125,Motor Vehicle Manufacturing,,32100000,http://www.mickeythompsontires.com
MICRO CONTROL COMPANY,,,120,"Appliances, Electrical, and Electronics Manufacturing",,58000000,microcontrol.com
MICRODENTAL LABORATORIES,,,350,Medical Device,,45450000,http://www.microdental.com
MICROMATIC LLC,,Indiana,56,machinery,,40000000,micromaticllc.com
MICROMERITICS INSTRUMENT,,,300,electrical/electronic manufacturing,,30000000,http://www.micromeritics.com
MICROMETL CORPORATION,,Indiana,180,machinery,,341600000,micrometl.com
MICROPOISE,,,350,Measuring and Control Instrument Manufacturing,,48200000,http://www.micropoise.com
MICRO-POISE MEASUREMENT,,,120,electrical/electronic manufacturing,,48159000,http://www.micropoise.com
MICROPULSE,,Indiana,170,medical devices,,36569000,micropulseinc.com
MICRO-TECH ENDOSCOPY,,Michigan,140,medical devices,,25000000,mtendoscopy.com
MIDMARK,,,3000,Medical Equipment Manufacturing,,500000000,http://www.midmark.com
MIDWAY PRODUCTS GROUP,,Michigan,280,Automotive,,405500000,midwayproducts.com
MIDWEST INDUSTRIAL SUPPLY,,,125,Chemical Manufacturing,,58900000,https://www.midwestind.com
MIDWESTERN AUTO GROUP,,,350,Motor Vehicle Manufacturing,,52000000,http://www.magcars.com
MIDWESTERN PET FOODS,,Indiana,150,Mechanical Or Industrial Engineering,,80000000,midwesternpetfoods.com
"MILK SOURCE, LLC",,,750,Dairy Product Manufacturing,,82100000,http://www.milksource.com
MILLCRAFT,,,350,Paper and Forest Product Manufacturing,,55000000,http://millcraft.com
MILLER ELECTRIC MFG. LLC,,,3000,Machinery Manufacturing,,380200000,http://www.MillerWelds.com
MILLER FABRICATION SOLUTIONS,,,350,Machinery Manufacturing,,30400000,http://www.millerfabricationsolutions.com
MILLER TRANSFER,https://www.linkedin.com/company/miller-transfer,,88,Transportation/Trucking/Railroad,,10000000,millertransfer.com
MILLERBERND,,,350,Construction,,30000000,http://www.millerbernd.com
MILLER'S TEXTILE,,,125,Textile Manufacturing,,30400000,http://www.millerstextile.com
MILSCO LLC,,,750,Motor Vehicle Manufacturing,,300000000,http://www.milsco.com
MILWAUKEE ELECTRONICS,,,750,"Appliances, Electrical, and Electronics Manufacturing",,70000000,http://www.MilwaukeeElectronics.com
MILWAUKEE FORGE,,Wisconsin,56,machinery,,39979000,milwaukeeforge.com
"MIRACLE-EAR, INC.",,Minnesota,1300,medical devices,,100000000,miracle-ear.com
MITSUBISHI ELECTRIC POWER PRODUCTS,,,3000,"Appliances, Electrical, and Electronics Manufacturing",,400000000,http://www.meppi.com
MITSUBISHI ELECTRIC TRANE US,,,760,electrical/electronic manufacturing,,125000000,https://www.mitsubishicomfort.com/
MME GROUP INC.,,Minnesota,200,Plastics Manufacturing,,45500000,mmegroupinc.com
MODANI FURNITURE,,,110,Retail,,29724000,http://www.modani.com
MODELS & TOOLS,,,77,Aviation and Aerospace Component Manufacturing,,25200000,modelsandtools.com
MODERN,,,350,Machinery Manufacturing,,67600000,http://www.moderngroup.com
MODERN OFFICE METHODS,,,200,Retail,,29878000,http://www.momnet.com
MODINEER,,,3000,Manufacturing,,115000000,http://www.modineer.com
MOELLER AEROSPACE,,,750,Aviation and Aerospace Component Manufacturing,,50000000,https://www.moeller-aerospace.com
MOELLER PRECISION TOOL,,Michigan,110,machinery,,54400000,moellerprecisiontool.com
MOLDED FIBER GLASS COMPANIES,,,3000,Plastics Manufacturing,,200000000,http://www.moldedfiberglass.com
MONROE TRUCK EQUIPMENT,,,750,Motor Vehicle Manufacturing,,270000000,http://www.monroetruck.com
MONTI,,,150,electrical/electronic manufacturing,,60000000,http://www.monti-inc.com
MORNINGSTAR CORPORATION,,Pennsylvania,52,electrical/electronic manufacturing,,25000000,morningstarcorp.com
MORRELL,,,125,Automation Machinery Manufacturing,,50000000,http://www.morrell-group.com
MORRELL GROUP,,,170,Automation Machinery Manufacturing,,50000000,morrell-group.com
MOSSY OAK,,,180,Retail,,40816000,http://www.mossyoak.com
MOTION DYNAMICS CORPORATION,,Michigan,80,medical devices,,26000000,motiondc.com
MOTUS INTEGRATED,,,3000,Motor Vehicle Manufacturing,,40000000,http://www.motusintegrated.com
MOUNTAIN HIGH OUTFITTERS,,,150,Retail,,26057000,http://www.mountainhighoutfitters.com
"MPI | MAGNETIC PRODUCTS, INC.",,Michigan,51,machinery,,25000000,mpimagnet.com
MPI PRODUCTS,,,3000,Motor Vehicle Manufacturing,,75000000,http://www.mpiproducts.com
MRPC,,,125,Medical Equipment Manufacturing,,48000000,https://www.mrpcorp.com/
MRS. T'S PIEROGIES,,,350,Food Production,,68500000,http://www.mrstspierogies.com
MS METAL SOLUTIONS,,Michigan,72,Machinery Manufacturing,,35600000,msmetalsolutions.com
MSSC,,,750,Motor Vehicle Manufacturing,,109100000,http://www.msscna.com
MTI,,,750,Aviation and Aerospace Component Manufacturing,,52500000,http://www.MTImotion.com
MUM INDUSTRIES,,,125,"Appliances, Electrical, and Electronics Manufacturing",,45000000,http://www.mumindustries.com/
MUSASHI AMERICAS,,Michigan,300,Automotive,,148500000,musashiamericas.com
MUZA METAL PRODUCTS,,Wisconsin,98,mining & metals,,42000000,muzametal.com
MYERS EMERGENCY POWER SYSTEMS,,,51,"Appliances, Electrical, and Electronics Manufacturing",,32100000,myerseps.com
NABCO ENTRANCES,,Wisconsin,180,Construction,,75000000,nabcoentrances.com
NANOLUMENS,,,110,electrical/electronic manufacturing,,29000000,http://www.nanolumens.com
NANSHAN AMERICA,,Indiana,140,mining & metals,,70200000,nanshanusa.com
NASCO,,,210,Retail,,318300000,nascoeducation.com
NATIONAL BUSINESS FURNITURE,,,350,Furniture and Home Furnishings Manufacturing,,119100000,https://www.nationalbusinessfurniture.com/
NATIONAL CENTER FOR DEFENSE MANUFACTURING & MACHINING (NCDMM),,Pennsylvania,51,Defense & Space,,43000000,ncdmm.org
NATIONAL ELECTRIC COIL,,,150,electrical/electronic manufacturing,,46427000,http://www.national-electric-coil.com
NATIONAL MACHINERY,,,350,Machinery Manufacturing,,44200000,http://www.nationalmachinery.com/
NATIONAL OAK DISTRIBUTORS,,,350,Motor Vehicle Manufacturing,,97000000,http://www.nationaloak.com
NATIONAL PRESTO INDUSTRIES,,,750,Manufacturing,,308000000,http://www.gopresto.com/
NATURAL LIFE,,,320,Retail,,29236000,http://www.naturallife.com
NATUS MEDICAL INCORPORATED,,,3000,Medical Equipment Manufacturing,,478300000,http://www.natus.com
NAVISTAR DEFENSE,,,350,Defense and Space Manufacturing,,151000000,http://www.NavistarDefense.com
NCC AUTOMATED SYSTEMS,,Pennsylvania,71,Industrial Automation,,118300000,nccas.com
NCP COATINGS,,,125,Chemical Manufacturing,,31400000,http://www.ncpcoatings.com
ND INDUSTRIES,,,350,Automation Machinery Manufacturing,,42300000,https://www.ndindustries.com
NDC TECHNOLOGIES,,,350,Automation Machinery Manufacturing,,86500000,http://www.ndc.com
"NEENAH ENTERPRISES, INC.",,,3000,Manufacturing,,149600000,http://www.groupnei.com
NEENAH FOUNDRY COMPANY,,Wisconsin,200,mining & metals,,214000000,groupnei.com
NEFF PACKAGING SOLUTIONS,,Kentucky,55,Packaging & Containers,,44000000,neffpackaging.com
NELSON GLOBAL,,,810,Industrial Machinery Manufacturing,,600000000,nelsongp.com
NEOCOIL,,Wisconsin,60,medical devices,,33400000,neocoil.com
NEPTUNE TECHNOLOGY GROUP,,,630,electrical/electronic manufacturing,,53781000,http://www.neptunetg.com
NEURONETICS,,,350,Medical Equipment Manufacturing,,65200000,http://www.neurostar.com/
NEW BERLIN PLASTICS,,Wisconsin,70,plastics,,36900000,nbplastics.com
NEW HUDSON FACADES,,Pennsylvania,230,Construction,,28900000,newhudsonfacades.com
NEW PIG,,,750,Manufacturing,,203700000,http://www.newpig.com
NEW PLASTICS,,Wisconsin,80,plastics,,27500000,newplasticscorp.com
NEW STANDARD,,,350,Manufacturing,,70000000,http://www.newstandard.com
NEWAGE INDUSTRIES,,,350,Plastics Manufacturing,,79300000,http://www.newageindustries.com
NEXT LEVEL DISTRIBUTION,,,200,electrical/electronic manufacturing,,28071000,http://www.getnextlevel.com
NEXTEK,,,120,electrical/electronic manufacturing,,37000000,http://www.nextekinc.com
NEXTERN,,Minnesota,1000,medical devices,,81600000,nextern.com
NEXTHERMAL,,Michigan,70,machinery,,25800000,nexthermal.com
NGK SPARK PLUGS,,,750,Motor Vehicle Manufacturing,,40000000,http://www.ngksparkplugs.com
NICO CORPORATION,,Indiana,94,medical devices,,25000000,niconeuro.com
NIDEC MINSTER,,,750,Machinery Manufacturing,,148500000,http://www.minster.com
NINE LINE APPAREL,,,120,Apparel & Fashion,,27106000,http://www.ninelineapparel.com
NITERRA NORTH AMERICA,,Michigan,190,Automotive,,40000000,ngksparkplugs.com
NIVEL,,,750,Motor Vehicle Manufacturing,,210000000,https://www.nivel.com
NMG AEROSPACE,,,350,Aviation and Aerospace Component Manufacturing,,87000000,http://www.nmgaerospace.com
NOCO,,,350,Computers and Electronics Manufacturing,,149300000,https://no.co/
NOKOMIS,,,64,Defense and Space Manufacturing,,58100000,nokomisinc.com
NORDCO,,,350,Railroad Equipment Manufacturing,,150000000,http://www.nordco.com
NORDSON MEDICAL,,Minnesota,970,medical devices,,419400000,nordsonmedical.com
NORMAN NOBLE,,,750,Medical Equipment Manufacturing,,75000000,http://www.nnoble.com
NORTECH SYSTEMS,,Minnesota,380,Mechanical Or Industrial Engineering,,140803000,nortechsys.com
NORTH VERNON INDUSTRY CORP,,Indiana,89,Machinery Manufacturing,,38100000,nvic-cwt.com
NORTHERN ENGRAVING,,,3000,Printing Services,,80800000,http://www.norcorp.com
"NORTHSTAR MEDICAL RADIOISOTOPES, LLC",,,350,Pharmaceutical Manufacturing,,62800000,https://www.northstarnm.com
NORTHWIRE,,,125,"Appliances, Electrical, and Electronics Manufacturing",,41300000,http://www.northwire.com
NORWOOD MEDICAL,,,750,Medical Equipment Manufacturing,,60000000,http://www.norwoodmedical.com
NOVATECH AUTOMATION,,,350,Utilities,,36000000,http://www.novatechautomation.com
NOVIPAX,,,350,Packaging and Containers Manufacturing,,230000000,http://www.novipax.com
NOVUM STRUCTURES,,Wisconsin,180,Construction,,180000000,novumstructures.com
NPS HOLDINGS,,,350,Paper and Forest Product Manufacturing,,63400000,https://npsholdings.com
NTN DRIVESHAFT,,Indiana,798,machinery,,271600000,ntnamericas.com
NUAIRE,,,350,Research,,75000000,http://www.nuaire.com
NUCRAFT,,,350,Furniture and Home Furnishings Manufacturing,,57900000,http://www.nucraft.com
NUESKE'S MEATS,,,125,Food and Beverage Manufacturing,,40000000,http://www.nueskemeats.com
NUK,,,350,Plastics Manufacturing,,43100000,http://www.nuk-usa.com
NYX INC.,,Michigan,940,Automotive,,65000000,nyxinc.com
OBERG INDUSTRIES,,,750,Industrial Machinery Manufacturing,,190100000,http://www.oberg.com
OBERLIN FILTER COMPANY,,Wisconsin,57,machinery,,30000000,oberlinfilter.com
OCEAN INSIGHT,,,180,electrical/electronic manufacturing,,38425000,http://www.oceaninsight.com
OEC GRAPHICS,,,350,Printing Services,,45500000,http://www.oecgraphics.com
OFS,,,1200,electrical/electronic manufacturing,,200000000,http://www.ofsoptics.com
OHIO CAT,,,3000,Machinery Manufacturing,,316700000,http://www.ohiocat.com
OHIO MULCH,,,350,Paper and Forest Product Manufacturing,,68400000,http://www.ohiomulch.com/
OHMITE,,,350,"Appliances, Electrical, and Electronics Manufacturing",,135800000,http://www.ohmite.com
OLD TIME POTTERY,,,390,Retail,,500000000,http://www.oldtimepottery.com
OLIVER HEALTHCARE PACKAGING,,,750,Packaging and Containers Manufacturing,,31689000,http://www.oliverhcp.com
OLON RICERCA BIOSCIENCE,,,125,Pharmaceutical Manufacturing,,300000000,http://www.olonricerca.com
OLYMPUS GROUP,,,350,Printing Services,,54800000,http://www.olympusgrp.com
"OMEGA PLASTICS, INC.",,Michigan,54,plastics,,33000000,opinc.com
OMNI METALCRAFT,,,125,Automation Machinery Manufacturing,,40800000,http://www.omni.com
OMNICABLE,,,350,"Appliances, Electrical, and Electronics Manufacturing",,48000000,http://www.omnicable.com
OMNISOURCE,,Indiana,860,mining & metals,,41875000,omnisource.com
OMT-VEYHL,,,190,Furniture and Home Furnishings Manufacturing,,115000000,omt-veyhl.com
OPTIMUM RV,,,130,Retail,,55600000,http://www.optimumrv.com
OPTINOSE,,,125,Pharmaceutical Manufacturing,,77900000,http://www.optinose.com
ORASCOPTIC,,Wisconsin,150,medical devices,,27500000,orascoptic.com
ORASURE,,,750,Medical Equipment Manufacturing,,387500000,http://www.OraSure.com
ORBBEC,,,350,Computer Hardware Manufacturing,,32100000,http://www.orbbec3d.com
ORBIS REUSABLE PACKAGING MANAGEMENT (RPM),,,1392,Packaging & Containers,,681200000,orbiscorporation.com
ORBUS,,,350,Wholesale,,89200000,http://www.orbus.com
ORION ENERGY SYSTEMS,,,350,"Appliances, Electrical, and Electronics Manufacturing",,121600000,http://www.orionlighting.com
ORLANDO BAKING,,,350,Food and Beverage Manufacturing,,48300000,http://www.orlandobaking.com
ORT TOOL AND DIE,,Pennsylvania,55,machinery,,25000000,orttool.com
OSBORN,,,3000,Industrial Machinery Manufacturing,,34200000,https://www.osborn.com/
OX INDUSTRIES,,,750,Paper and Forest Product Manufacturing,,36600000,http://www.oxindustries.com
"PACE INDUSTRIES, LLC",,Michigan,1100,mining & metals,,192000000,paceind.com
PACON CORPORATION,,,750,Paper and Forest Product Manufacturing,,99300000,http://www.pacon.com
PACUR LLC,,Wisconsin,77,plastics,,150000000,pacur.com
PALLET SERVICE CORPORATION,,Minnesota,51,Packaging & Containers,,26300000,palletservice.com
PALMER HOLLAND,,,125,Chemical Manufacturing,,126000000,https://www.palmerholland.com
PALRAM AMERICAS,,,350,Plastics Manufacturing,,45800000,https://www.palram.com/us
PAPER CONVERTING MACHINE COMPANY,,,750,Machinery Manufacturing,,210000000,http://www.pcmc.com
PAPER MACHINERY CORPORATION,,Wisconsin,150,machinery,,110000000,papermc.com
PAPERWORKS,,Pennsylvania,620,paper & forest products,,150000000,onepaperworks.com
PAR 4 PLASTICS,,Kentucky,70,plastics,,45600000,par4plastics.com
PARADIES LAGARDÈRE,,,2200,Retail,,345000000,http://www.paradieslagardere.com
PARAGON D&E,,,350,Aviation and Aerospace Component Manufacturing,,31200000,https://paragonde.com
PARAGON MEDICAL,,Indiana,5000,medical devices,,550000000,paragonmedical.com
PARAGON METALS,,,350,Motor Vehicle Manufacturing,,51000000,http://www.paragonmetals.com
PARK INDUSTRIES,,,247,machinery,,75900000,parkindustries.com
PARKER PLASTICS,,,153,plastics,,52100000,parker-plastics.com
PARKER'S,,,520,Retail,,492600000,http://www.parkerskitchen.com
PARTS EXPRESS,,,130,electrical/electronic manufacturing,,32093000,http://www.parts-express.com
PASLIN,,,750,Automation Machinery Manufacturing,,100000000,http://www.paslin.com
PECO PALLET,,,350,Truck Transportation,,200000000,http://www.pecopallet.com
PEERLESS TECHNOLOGIES,,,350,Defense and Space Manufacturing,,100000000,http://epeerless.com
PEI-GENESIS,,,750,"Appliances, Electrical, and Electronics Manufacturing",,282000000,https://www.peigenesis.com
PEIRCE PHELPS,,,350,Wholesale,,206000000,http://www.peirce.com
PENN COLOR,,,750,Plastics Manufacturing,,121000000,http://www.penncolor.com
PENN UNITED TECHNOLOGIES,,,750,Machinery Manufacturing,,150000000,http://www.pennunited.com
PENNAIR,,Pennsylvania,61,machinery,,27500000,pennair.com
PENNANT MOLDINGS,,,78,electrical/electronic manufacturing,,25000000,http://www.pennant-us.com
"PENNANT MOLDINGS, INC.",,,350,"Appliances, Electrical, and Electronics Manufacturing",,25000000,http://www.pennant-us.com/
PENNSYLVANIA STEEL,,,350,Fabricated Metal Products,,300000000,http://www.pasteel.com
PERLICK CORPORATION,,,350,Manufacturing,,42200000,http://www.perlick.com
PERRYMAN COMPANY,,Pennsylvania,180,mining & metals,,40000000,perrymanco.com
PETER GLENN SKI AND SPORTS,,,110,Retail,,30000000,http://www.peterglenn.com
PETERSON SPRING,,,750,Motor Vehicle Manufacturing,,191700000,http://www.pspring.com
PETLAND RETAIL STORES,,,470,Retail,,35000000,http://www.petland.com
PETOSKEY PLASTICS,,,350,Plastics Manufacturing,,65000000,http://www.petoskeyplastics.com
PGA TOUR SUPERSTORE,,,1200,Retail,,36000000,http://www.pgatoursuperstore.com
PHASE TECHNOLOGIES,,South Dakota,58,electrical/electronic manufacturing,,25000000,phasetechnologies.com
PHOENIX PAPER WICKLIFFE LLC,,Kentucky,500,paper & forest products,,160000000,phoenixpaper.com
PIDC,,,125,Chemical Manufacturing,,105000000,http://www.pidc.com
PILOT CHEMICAL,,,350,Chemical Manufacturing,,375000000,http://www.pilotchemical.com
PINCH A PENNY POOL PATIO SPA,,,870,Retail,,387300000,http://www.pinchapenny.com
PINNACLE TECHNOLOGY GROUP,,Michigan,61,electrical/electronic manufacturing,,25000000,pinnacletec.com
PISTON AUTOMOTIVE,,Michigan,380,Automotive,,58000000,pistonautomotive.com
PIXELLE,,,3000,Paper and Forest Product Manufacturing,,35000000,http://www.pixelle.com
PLACON CORPORATION,,,750,Packaging and Containers Manufacturing,,190000000,http://www.placon.com
PLAID ENTERPRISES,,,290,Retail,,32000000,http://www.plaidonline.com
PLASKOLITE,,,3000,Plastics Manufacturing,,348400000,https://plaskolite.com/
PLASTIC INGENUITY,,,750,Packaging and Containers Manufacturing,,90000000,http://www.plasticingenuity.com
PLASTICS ENGINEERING COMPANY (PLENCO),,,350,Plastics Manufacturing,,72700000,https://www.plenco.com
PLASTI-PAINT,,Michigan,59,plastics,,28000000,plastipaint.com
PLAYMONSTER,,,125,Manufacturing,,40000000,http://www.playmonster.com
PMC SMART SOLUTIONS,,,125,Medical Equipment Manufacturing,,55000000,https://www.pmcsmartsolutions.com
PNEUMATIC SCALE ANGELUS,,,750,Machinery Manufacturing,,61700000,https://psangelus.com/
POBLOCKI SIGN COMPANY,,Wisconsin,170,Construction,,42400000,poblocki.com
POINT MEDICAL CORPORATION,,Indiana,53,medical devices,,50967000,pointmedical.com
POLY VINYL CO.,,Wisconsin,51,plastics,,44100000,polyvinyl.com
POLYFLEX PRODUCTS,,Michigan,97,Packaging & Containers,,25000000,polyflexpro.com
POLYJOHN ENTERPRISES CORP.,,Indiana,71,plastics,,100000000,polyjohn.com
POOL AND SPA DEPOT,,,83,Retail,,51021000,http://www.poolandspadepot.com
PORTESCAP,,,3000,"Appliances, Electrical, and Electronics Manufacturing",,105000000,http://www.portescap.com
POST CONSUMER BRANDS,,Minnesota,1900,Mechanical Or Industrial Engineering,,438300000,postconsumerbrands.com
POST GLOVER RESISTORS,,,66,electrical/electronic manufacturing,,64736000,http://www.postglover.com
POTTERS INDUSTRIES,,Pennsylvania,1000,Mechanical Or Industrial Engineering,,37300000,pottersindustries.com
POWDER COTE II,,,130,Chemical Manufacturing,,51620000,powdercoteii.com
POWER,,,190,electrical/electronic manufacturing,,170500000,http://www.powerpartners-usa.com
POWER DISTRIBUTORS,,,350,Truck Transportation,,168400000,https://www.powerdistributors.com
POWEREX,,,350,Semiconductors,,40000000,http://www.pwrx.com
PRATT MILLER,,,350,Motor Vehicle Manufacturing,,80000000,http://www.prattmiller.com
PRC BRAND,,,125,Medical Device,,30000000,http://prentrom.com
PRECISION MEDICAL TECHNOLOGIES,,Indiana,86,medical devices,,29600000,premedtec.com
PREMIUM WATERS,,,3000,Food and Beverage Manufacturing,,417000000,http://premiumwaters.com
PRESTO PRODUCTS COMPANY,,,350,Manufacturing,,294800000,http://www.prestoproducts.com
PRIDE MOBILITY PRODUCTS,,,3000,Medical Equipment Manufacturing,,400000000,https://www.pridemobility.com
PRIDGEON & CLAY,,Michigan,600,Automotive,,295000000,pridgeonandclay.com
PRIME TECHNOLOGICAL SERVICES,,,64,electrical/electronic manufacturing,,34634000,http://www.prime-ems.com
PRIMEX,,,125,"Appliances, Electrical, and Electronics Manufacturing",,75000000,http://www.primexinc.com
"PRINSCO, INC.",,Minnesota,500,Plastics Manufacturing,,98000000,prinsco.com
PRIORITY,,Wisconsin,160,Construction,,25000000,priorityinc.com
PRO-ACTIVE ENGINEERING,,Wisconsin,63,electrical/electronic manufacturing,,25000000,proactivepcb.com
PROAMPAC,https://www.linkedin.com/company/10341654,California,1001,Packaging and Containers,,100100000,proampac.com
PROCONEX,,,350,Automation Machinery Manufacturing,,40400000,http://www.proconexdirect.com
PRODUCTION AUTOMATION CORPORATION,,Minnesota,130,medical devices,,28082000,gotopac.com
PRODUCTION CONTROL UNITS,,,125,Automation Machinery Manufacturing,,45000000,http://www.pcuinc.com
PROFESSIONAL PLUMBING GROUP,,,350,Wholesale,,50000000,http://www.ppg-inc.com
PROFILE FILMS,,Michigan,56,Packaging & Containers,,45500000,profilefilms.com
PROPER GROUP,,,750,Motor Vehicle Manufacturing,,131100000,http://propergroupintl.com
PROTOLABS,,,5000,Industrial Machinery Manufacturing,,485452000,protolabs.com
PROVIA,,,3000,Manufacturing,,392300000,https://www.provia.com
PSCO KIEFFER,,Wisconsin,72,Construction,,34493000,pscosigngroup.com
PTC ALLIANCE,,Pennsylvania,340,mining & metals,,450000000,ptcalliance.com
PTR BALER AND COMPACTOR COMPANY,,Pennsylvania,180,machinery,,63300000,ptrco.com
PTS DIAGNOSTICS,,Indiana,160,medical devices,,45000000,ptsdiagnostics.com
PTSOLUTIONS,,,750,Automation Machinery Manufacturing,,315000000,http://www.pts-tools.com
PULSE,,,350,Medical Equipment Manufacturing,,31300000,http://www.pulsetechnologies.com
PURE ROMANCE,,,5200,Retail,,250000000,http://www.pureromance.com
PYROMATION,,Indiana,91,Mechanical Or Industrial Engineering,,89000000,pyromation.com
Q-LAB,,,350,Industrial Machinery Manufacturing,,44200000,http://www.q-lab.com
QUALITY LIQUID FEEDS,,,350,Food and Beverage Manufacturing,,78500000,http://www.qlf.com
QUALITY METALS,,Minnesota,51,mining & metals,,25400000,qualitymetalsinc.com
"QUALITY PACKAGING, INC.",,Wisconsin,120,Packaging & Containers,,50000000,qpack.com
QUALITY TOOL,,Minnesota,120,machinery,,25800000,qualitytool.com
QUEST INDUSTRIAL,,Wisconsin,50,machinery,,28199000,questindustrial.com
R&E AUTOMATED,,,350,Automation Machinery Manufacturing,,56100000,http://www.reautomated.com
R.A JONES,,,750,Machinery Manufacturing,,64400000,http://www.rajones.com
RACE WINNING BRANDS,,,750,Motor Vehicle Manufacturing,,126500000,http://www.racewinningbrands.com
RADIAN RESEARCH,,,77,electrical/electronic manufacturing,,28752000,http://www.radianresearch.com
RADIUS PACKAGING,,,350,Packaging & Containers,,53500000,https://radiuspkg.com
RADIX WIRE & CABLE,,,66,electrical/electronic manufacturing,,25000000,http://www.radix-wire.com
RAMI,,,63,electrical/electronic manufacturing,,51902000,http://www.rami.com
"RAPID-LINE, INC.",,Michigan,55,Machinery Manufacturing,,39400000,rapid-line.com
"REALTRUCK, INC.",,Michigan,1400,Automotive,,100000000,realtruck.com
RECARO AUTOMOTIVE,,,350,Motor Vehicle Manufacturing,,45500000,http://www.recaro-automotive.com/
RED LION CONTROLS,,,350,Automation Machinery Manufacturing,,60000000,https://www.redlion.net/
RED NUCLEUS,,,350,Pharmaceutical Manufacturing,,257200000,https://rednucleus.com
RED VALVE COMPANY,,,110,Industrial Machinery Manufacturing,,100000000,redvalve.com
REDVIKING,,,125,Automation Machinery Manufacturing,,31400000,http://www.redviking.com
REFRIGERATED SOLUTIONS GROUP,,,74,HVAC and Refrigeration Equipment Manufacturing,,149400000,master-bilt.com
REGAL WARE,,,350,Manufacturing,,80000000,http://www.regalware.com
REHAB MEDICAL,,,350,Medical Equipment Manufacturing,,71900000,http://www.rehabmedical.com
